Rspeed Rref Lspeed Lref Time
0.0 0.0 -0.9 0.0 0.405000
0.0 0.0 -0.9 0.0 0.407000
0.0 0.0 -0.9 0.0 0.410000
0.0 0.0 -0.9 0.0 0.412000
0.0 0.0 -0.9 0.0 0.415000
0.0 0.0 -1.8 0.0 0.417000
0.0 0.0 -1.8 0.0 0.420000
0.0 0.0 -0.9 0.0 0.423000
0.0 0.0 -1.8 0.0 0.425000
0.0 0.0 -0.9 0.0 0.428000
0.0 0.0 -1.8 0.0 0.430000
0.0 0.0 -0.9 0.0 0.433000
0.0 0.0 -0.9 0.0 0.435000
0.0 0.0 -0.9 0.0 0.438000
0.0 0.0 -0.9 0.0 0.440000
0.0 0.0 -0.9 0.0 0.443000
0.0 0.0 -1.8 0.0 0.445000
0.0 0.0 -0.9 0.0 0.448000
0.0 0.0 -0.9 0.0 0.451000
0.0 0.0 -0.9 0.0 0.454000
0.0 0.0 -0.9 0.0 0.457000
0.0 0.0 -0.9 0.0 0.460000
0.0 0.0 -0.9 0.0 0.463000
0.0 0.0 -0.9 0.0 0.466000
0.0 0.0 -0.9 0.0 0.469000
0.0 0.0 -0.9 0.0 0.472000
0.0 0.0 -0.9 0.0 0.474000
0.0 0.0 -0.9 0.0 0.477000
0.0 0.0 -0.0 0.0 0.480000
0.0 0.0 -0.9 0.0 0.483000
0.0 0.0 -0.9 0.0 0.486000
0.0 0.0 -0.9 0.0 0.489000
0.0 0.0 -0.9 0.0 0.492000
0.0 0.0 -0.9 0.0 0.495000
0.0 0.0 -1.8 0.0 0.498000
0.0 0.0 -0.9 0.0 0.501000
0.0 0.0 -0.9 0.0 0.504000
0.0 0.0 -0.9 0.0 0.507000
0.0 0.0 -0.9 0.0 0.510000
0.0 0.0 -0.9 0.0 0.513000
0.0 0.0 -0.9 0.0 0.515000
0.0 0.0 -0.9 0.0 0.518000
0.0 0.0 -0.9 0.0 0.521000
0.0 0.0 -0.9 0.0 0.524000
0.0 0.0 -1.8 0.0 0.526000
0.0 0.0 -0.0 0.0 0.529000
0.0 0.0 -0.0 0.0 0.532000
0.0 0.0 -1.8 0.0 0.535000
0.0 0.0 -0.9 0.0 0.538000
0.0 0.0 -1.8 0.0 0.541000
0.0 0.0 -1.8 0.0 0.544000
0.0 0.0 -1.8 0.0 0.547000
0.0 0.0 -0.9 0.0 0.550000
0.0 0.0 -1.8 0.0 0.553000
0.0 0.0 -1.8 0.0 0.556000
0.0 0.0 -0.9 0.0 0.559000
0.0 0.0 -0.9 0.0 0.562000
0.0 0.0 -1.8 0.0 0.565000
0.0 0.0 -0.9 0.0 0.568000
0.0 0.0 -0.9 0.0 0.571000
0.0 0.0 -1.8 0.0 0.573000
0.0 0.0 -0.9 0.0 0.576000
0.0 0.0 -1.8 0.0 0.579000
0.0 0.0 -0.9 0.0 0.582000
0.0 0.0 -0.9 0.0 0.585000
0.0 0.0 -0.9 0.0 0.588000
0.0 0.0 -0.9 0.0 0.591000
0.0 0.0 -0.9 0.0 0.594000
0.0 0.0 -0.0 0.0 0.597000
0.0 0.0 -0.0 0.0 0.599000
0.0 0.0 -0.9 0.0 0.602000
0.0 0.0 -0.0 0.0 0.605000
0.0 0.0 -0.9 0.0 0.608000
0.0 0.0 -0.9 0.0 0.611000
0.0 0.0 -0.9 0.0 0.614000
0.0 0.0 -0.9 0.0 0.617000
0.0 0.0 -0.9 0.0 0.620000
0.0 0.0 -0.9 0.0 0.623000
0.0 0.0 -1.8 0.0 0.625000
0.0 0.0 -1.8 0.0 0.628000
0.0 0.0 -0.9 0.0 0.630000
0.0 0.0 -0.9 0.0 0.633000
0.0 0.0 -1.8 0.0 0.635000
0.0 0.0 -0.9 0.0 0.638000
0.0 0.0 -0.9 0.0 0.640000
0.0 0.0 -0.9 0.0 0.643000
0.0 0.0 -0.9 0.0 0.645000
0.0 0.0 -0.9 0.0 0.648000
0.0 0.0 -0.9 0.0 0.651000
0.0 0.0 -0.9 0.0 0.654000
0.0 0.0 -0.9 0.0 0.657000
0.0 0.0 -0.9 0.0 0.659000
0.0 0.0 -0.9 0.0 0.662000
0.0 0.0 -0.9 0.0 0.665000
0.0 0.0 -1.8 0.0 0.667000
0.0 0.0 -0.9 0.0 0.670000
0.0 0.0 -1.8 0.0 0.672000
0.0 0.0 -0.9 0.0 0.675000
0.0 0.0 -0.9 0.0 0.677000
0.0 0.0 -1.8 0.0 0.679000
0.0 0.0 -1.8 0.0 0.682000
0.0 0.0 -1.8 0.0 0.684000
0.0 0.0 -1.8 0.0 0.687000
0.0 0.0 -0.9 0.0 0.690000
0.0 0.0 -0.9 0.0 0.693000
0.0 0.0 -1.8 0.0 0.696000
0.0 0.0 -0.9 0.0 0.699000
0.0 0.0 -0.9 0.0 0.702000
0.0 0.0 -1.8 0.0 0.704000
0.0 0.0 -0.0 0.0 0.707000
0.0 0.0 -0.0 0.0 0.710000
0.0 0.0 -0.0 0.0 0.713000
0.0 0.0 -0.9 0.0 0.716000
0.0 0.0 -1.8 0.0 0.719000
0.0 0.0 -1.8 0.0 0.722000
0.0 0.0 -1.8 0.0 0.725000
0.0 0.0 -1.8 0.0 0.728000
0.0 0.0 -0.9 0.0 0.731000
0.0 0.0 -0.9 0.0 0.734000
0.0 0.0 -0.9 0.0 0.737000
0.0 0.0 -0.9 0.0 0.740000
0.0 0.0 -0.0 0.0 0.743000
0.0 0.0 -0.0 0.0 0.745000
0.0 0.0 -0.9 0.0 0.748000
0.0 0.0 -0.0 0.0 0.751000
0.0 0.0 -0.0 0.0 0.753000
0.0 0.0 -0.9 0.0 0.756000
0.0 0.0 -0.0 0.0 0.758000
0.0 0.0 -0.9 0.0 0.762000
0.0 0.0 -0.0 0.0 0.764000
0.0 0.0 -0.9 0.0 0.767000
0.0 0.0 -0.0 0.0 0.770000
0.0 0.0 -0.9 0.0 0.773000
0.0 0.0 -0.9 0.0 0.776000
0.0 0.0 -0.9 0.0 0.779000
0.0 0.0 -0.0 0.0 0.781000
0.0 0.0 -0.9 0.0 0.785000
0.0 0.0 -0.9 0.0 0.788000
0.0 0.0 -0.9 0.0 0.791000
0.0 0.0 -0.9 0.0 0.793000
0.0 0.0 -0.9 0.0 0.796000
0.0 0.0 -0.0 0.0 0.799000
0.0 0.0 -0.9 0.0 0.802000
0.0 0.0 -0.9 0.0 0.805000
0.0 0.0 -0.9 0.0 0.808000
0.0 0.0 -0.9 0.0 0.811000
0.0 0.0 -0.9 0.0 0.814000
0.0 0.0 -0.9 0.0 0.817000
0.0 0.0 -0.0 0.0 0.820000
0.0 0.0 -0.9 0.0 0.823000
0.0 0.0 -0.0 0.0 0.826000
