X Y Theta dr dl Time
-0.610131 -0.474197 0.623429 -0.015808 -0.000966 4.884000
-0.616995 -0.479135 0.623739 -0.008422 -0.008491 4.939000
-0.622588 -0.483297 0.655932 -0.003382 -0.010561 4.989000
-0.628574 -0.487969 0.669552 -0.006075 -0.009112 5.038000
-0.635818 -0.493609 0.653455 -0.010976 -0.007386 5.093000
-0.643540 -0.499478 0.646336 -0.010492 -0.008905 5.141000
-0.651248 -0.505363 0.657789 -0.008422 -0.010976 5.196000
-0.657336 -0.510129 0.670790 -0.006282 -0.009181 5.246000
-0.662441 -0.514190 0.672957 -0.006282 -0.006765 5.295000
-0.669118 -0.519435 0.658717 -0.010078 -0.006903 5.350000
-0.677611 -0.526055 0.665528 -0.010009 -0.011528 5.398000
-0.684759 -0.531761 0.681934 -0.007317 -0.010976 5.453000
-0.691004 -0.536883 0.691839 -0.006972 -0.009181 5.503000
-0.698048 -0.542663 0.682553 -0.010147 -0.008076 5.552000
-0.705114 -0.548306 0.665218 -0.010976 -0.007110 5.606000
-0.711350 -0.553163 0.658098 -0.008698 -0.007110 5.655000
-0.717796 -0.558198 0.668313 -0.007041 -0.009319 5.710000
-0.724770 -0.563679 0.663670 -0.009388 -0.008353 5.760000
-0.731489 -0.568870 0.651907 -0.009802 -0.007179 5.809000
-0.737967 -0.573808 0.650669 -0.008283 -0.008007 5.864000
-0.744784 -0.579098 0.669242 -0.006558 -0.010700 5.912000
-0.751275 -0.584299 0.681934 -0.006903 -0.009733 5.967000
-0.758983 -0.590466 0.667694 -0.011459 -0.008283 6.017000
-0.766350 -0.596116 0.640764 -0.012287 -0.006282 6.066000
-0.773183 -0.601156 0.630239 -0.009664 -0.007317 6.120000
-0.779918 -0.606155 0.646645 -0.006558 -0.010216 6.169000
-0.786138 -0.610862 0.649122 -0.007524 -0.008076 6.224000
-0.793053 -0.615964 0.622191 -0.011597 -0.005591 6.274000
-0.799235 -0.620254 0.591236 -0.010976 -0.004073 6.323000
-0.806291 -0.624976 0.588141 -0.008836 -0.008145 6.378000
-0.812117 -0.628930 0.604237 -0.005246 -0.008836 6.426000
-0.816887 -0.632287 0.622500 -0.003797 -0.007869 6.481000
-0.824273 -0.637505 0.607642 -0.010700 -0.007386 6.531000
-0.833295 -0.643572 0.576378 -0.014358 -0.007386 6.580000
-0.841609 -0.648829 0.551304 -0.012632 -0.007041 6.635000
-0.846944 -0.652079 0.542947 -0.007179 -0.005315 6.683000
-0.852298 -0.655364 0.557805 -0.004625 -0.007938 6.738000
-0.858089 -0.659057 0.577306 -0.004694 -0.009043 6.788000
-0.865826 -0.664063 0.571425 -0.009871 -0.008560 6.836000
-0.874835 -0.669707 0.547899 -0.013254 -0.008007 6.891000
-0.882548 -0.674293 0.524993 -0.011528 -0.006420 6.940000
-0.888577 -0.677862 0.543875 -0.004901 -0.009112 6.994000
-0.895299 -0.682085 0.577926 -0.004142 -0.011735 7.043000
-0.904127 -0.687627 0.543256 -0.014289 -0.006558 7.098000
-0.911002 -0.691457 0.473298 -0.015670 -0.000069 7.148000
-0.917138 -0.694466 0.438629 -0.010700 -0.002968 7.197000
-0.925261 -0.698517 0.486609 -0.003728 -0.014427 7.251000
-0.932314 -0.702452 0.531184 -0.003106 -0.013047 7.300000
-0.938514 -0.706001 0.508587 -0.009664 -0.004625 7.355000
-0.945037 -0.709316 0.431819 -0.015877 0.001243 7.405000
-0.952583 -0.712734 0.418818 -0.009733 -0.006834 7.454000
-0.960734 -0.716651 0.477013 -0.002554 -0.015532 7.508000
-0.968288 -0.720748 0.516945 -0.004142 -0.013047 7.557000
-0.975762 -0.724776 0.471751 -0.013530 -0.003451 7.612000
-0.982559 -0.728004 0.414794 -0.013875 -0.001173 7.662000
-0.990984 -0.731823 0.436462 -0.006834 -0.011666 7.711000
-0.998888 -0.735772 0.490324 -0.002830 -0.014841 7.765000
-1.006316 -0.739813 0.506110 -0.006696 -0.010216 7.814000
-1.013430 -0.743636 0.480108 -0.010976 -0.005177 7.869000
-1.020170 -0.747058 0.459369 -0.009871 -0.005246 7.919000
-1.028870 -0.751574 0.498372 -0.005453 -0.014151 7.968000
-1.037498 -0.756439 0.528398 -0.006558 -0.013254 8.022000
-1.044244 -0.760287 0.508277 -0.010009 -0.005522 8.071000
-1.049840 -0.763289 0.476703 -0.009871 -0.002830 8.126000
-1.056240 -0.766618 0.482585 -0.006558 -0.007869 8.174000
-1.064507 -0.771210 0.531493 -0.004004 -0.014910 8.229000
-1.073685 -0.776643 0.537375 -0.010009 -0.011321 8.279000
-1.080752 -0.780551 0.472989 -0.015255 -0.000897 8.328000
-1.085757 -0.782966 0.426247 -0.010769 -0.000345 8.383000
-1.093513 -0.786668 0.464322 -0.004349 -0.012839 8.431000
-1.101274 -0.790819 0.517873 -0.002830 -0.014772 8.486000
-1.110472 -0.795938 0.497753 -0.012770 -0.008283 8.536000
-1.117033 -0.799255 0.438629 -0.013944 -0.000759 8.584000
-1.122120 -0.801576 0.417580 -0.007938 -0.003244 8.639000
-1.130476 -0.805544 0.468965 -0.003520 -0.014979 8.687000
-1.139070 -0.810185 0.521278 -0.003935 -0.015601 8.741000
-1.147268 -0.814687 0.483204 -0.013599 -0.005108 8.789000
-1.153851 -0.817804 0.401174 -0.016429 0.001864 8.844000
-1.159660 -0.820194 0.379505 -0.008698 -0.003866 8.892000
-1.167469 -0.823526 0.427176 -0.003175 -0.013806 8.947000
-1.174869 -0.827093 0.471132 -0.003313 -0.013116 8.995000
-1.183061 -0.831160 0.450392 -0.011459 -0.006834 9.050000
-1.189971 -0.834224 0.384458 -0.014910 -0.000207 9.098000
-1.196875 -0.836850 0.342360 -0.012080 -0.002692 9.152000
-1.204084 -0.839544 0.373005 -0.004280 -0.011114 9.200000
-1.210336 -0.842128 0.410770 -0.002554 -0.010976 9.255000
-1.219194 -0.845993 0.412008 -0.009526 -0.009802 9.303000
-1.228368 -0.849909 0.394983 -0.011873 -0.008076 9.358000
-1.235676 -0.853009 0.407365 -0.006558 -0.009319 9.407000
-1.243626 -0.856703 0.462464 -0.002623 -0.014910 9.462000
-1.253891 -0.861873 0.470822 -0.010561 -0.012425 9.514000
-1.262005 -0.865707 0.412008 -0.015532 -0.002416 9.564000
-1.267951 -0.868216 0.386316 -0.009319 -0.003590 9.612000
-1.275994 -0.871704 0.432129 -0.003659 -0.013875 9.667000
-1.285078 -0.876069 0.463702 -0.006558 -0.013599 9.715000
-1.294696 -0.880677 0.429962 -0.014427 -0.006903 9.769000
-1.301984 -0.883735 0.364647 -0.015186 -0.000621 9.818000
-1.308364 -0.886088 0.342050 -0.009319 -0.004280 9.874000
-1.315828 -0.888891 0.376410 -0.004142 -0.011804 9.920000
-1.322847 -0.891787 0.406127 -0.004280 -0.010907 9.976000
-1.332746 -0.895937 0.387863 -0.012770 -0.008698 10.027000
-1.340628 -0.899000 0.353503 -0.012287 -0.004625 10.076000
-1.347969 -0.901739 0.360623 -0.007041 -0.008629 10.127000
-1.355238 -0.904660 0.403650 -0.003037 -0.012632 10.179000
-1.363911 -0.908431 0.416651 -0.008007 -0.010907 10.229000
-1.372511 -0.912020 0.373934 -0.014082 -0.004556 10.285000
