Rspeed Rref Lspeed Lref Time
-0.0 0.0 36.8 30.0 1.689
-0.0 0.0 29.8 30.0 1.700
-0.0 0.0 28.9 30.0 1.711
-0.0 0.0 28.0 30.0 1.722
0.9 0.0 28.0 30.0 1.733
-0.0 0.0 28.9 30.0 1.744
-0.0 0.0 27.2 30.0 1.755
-0.0 0.0 28.0 30.0 1.766
-0.0 0.0 35.9 30.0 1.777
-0.0 0.0 37.7 30.0 1.789
-0.0 0.0 29.8 30.0 1.800
-0.0 0.0 28.0 30.0 1.811
-0.0 0.0 27.2 30.0 1.822
0.9 0.0 28.0 30.0 1.833
0.9 0.0 27.2 30.0 1.844
-6.1 0.0 28.0 30.0 1.855
-5.3 0.0 35.9 30.0 1.866
-0.0 0.0 28.9 30.0 1.877
-0.0 0.0 27.2 30.0 1.888
-0.9 0.0 27.2 30.0 1.899
-0.0 0.0 35.1 30.0 1.910
-0.0 0.0 35.9 30.0 1.921
0.9 0.0 28.9 30.0 1.932
-0.0 0.0 28.0 30.0 1.944
-0.0 0.0 28.0 30.0 1.955
-0.0 0.0 28.9 30.0 1.966
-0.0 0.0 27.2 30.0 1.977
-0.0 0.0 28.0 30.0 1.988
-0.0 0.0 35.1 30.0 1.999
-0.0 0.0 28.0 30.0 2.010
-0.9 0.0 28.0 30.0 2.021
-0.0 0.0 27.2 30.0 2.032
-0.0 0.0 27.2 30.0 2.043
-0.9 0.0 35.9 30.0 2.054
-0.9 0.0 37.7 30.0 2.065
-0.0 0.0 30.7 30.0 2.076
-0.0 0.0 27.2 30.0 2.087
-0.0 0.0 27.2 30.0 2.099
-0.9 0.0 28.0 30.0 2.110
-0.0 0.0 35.1 30.0 2.121
0.9 0.0 28.0 30.0 2.132
-0.0 0.0 28.0 30.0 2.143
-0.0 0.0 27.2 30.0 2.154
-0.0 0.0 27.2 30.0 2.165
-0.0 0.0 36.8 30.0 2.176
-0.0 0.0 38.6 30.0 2.187
-0.0 0.0 30.7 30.0 2.198
-0.0 0.0 28.9 30.0 2.209
-0.0 0.0 28.0 30.0 2.220
0.9 0.0 28.0 30.0 2.231
-0.9 0.0 28.9 30.0 2.242
-0.0 0.0 28.0 30.0 2.254
-0.0 0.0 28.0 30.0 2.265
-0.9 0.0 27.2 30.0 2.276
-0.0 0.0 27.2 30.0 2.287
-0.9 0.0 35.1 30.0 2.298
0.9 0.0 35.9 30.0 2.309
-0.0 0.0 29.8 30.0 2.320
-0.0 0.0 28.9 30.0 2.331
-0.9 0.0 27.2 30.0 2.342
-0.0 0.0 25.4 30.0 2.353
-0.0 0.0 25.4 30.0 2.364
-0.9 0.0 32.4 30.0 2.375
-0.0 0.0 36.8 30.0 2.387
-0.9 0.0 28.9 30.0 2.398
-0.0 0.0 27.2 30.0 2.409
-0.0 0.0 27.2 30.0 2.420
-0.0 0.0 35.9 30.0 2.432
0.9 0.0 36.8 30.0 2.443
-0.0 0.0 30.7 30.0 2.454
-0.0 0.0 28.9 30.0 2.465
-0.0 0.0 28.0 30.0 2.477
-0.0 0.0 25.4 30.0 2.488
-0.0 0.0 25.4 30.0 2.499
-0.9 0.0 32.4 30.0 2.510
-0.9 0.0 35.1 30.0 2.522
-0.0 0.0 28.9 30.0 2.533
-0.0 0.0 28.0 30.0 2.544
-0.0 0.0 28.9 30.0 2.555
-0.0 0.0 28.9 30.0 2.567
-0.0 0.0 28.0 30.0 2.578
-0.0 0.0 27.2 30.0 2.589
-0.0 0.0 28.9 30.0 2.600
0.9 0.0 35.1 30.0 2.612
-0.0 0.0 29.8 30.0 2.623
-0.0 0.0 27.2 30.0 2.634
-0.0 0.0 25.4 30.0 2.646
-0.0 0.0 34.2 30.0 2.657
-0.9 0.0 35.9 30.0 2.668
-0.0 0.0 29.8 30.0 2.680
-0.0 0.0 28.9 30.0 2.691
-0.0 0.0 28.9 30.0 2.702
-0.0 0.0 28.0 30.0 2.713
-0.0 0.0 28.9 30.0 2.725
-0.0 0.0 27.2 30.0 2.736
-0.0 0.0 27.2 30.0 2.747
-0.0 0.0 34.2 30.0 2.758
-0.0 0.0 36.8 30.0 2.769
-0.0 0.0 27.2 30.0 2.781
-0.0 0.0 25.4 30.0 2.792
-0.9 0.0 33.3 30.0 2.803
-0.0 0.0 35.9 30.0 2.815
0.9 0.0 28.9 30.0 2.826
-0.9 0.0 28.9 30.0 2.837
0.9 0.0 27.2 30.0 2.848
-0.0 0.0 25.4 30.0 2.860
-0.0 0.0 33.3 30.0 2.871
-0.9 0.0 35.9 30.0 2.882
0.9 0.0 27.2 30.0 2.893
-0.0 0.0 27.2 30.0 2.905
0.9 0.0 34.2 30.0 2.916
-0.0 0.0 35.1 30.0 2.927
-0.9 0.0 30.7 30.0 2.939
-0.0 0.0 27.2 30.0 2.950
-0.0 0.0 27.2 30.0 2.961
-0.0 0.0 28.0 30.0 2.972
0.9 0.0 35.1 30.0 2.984
-0.0 0.0 28.9 30.0 2.995
-0.0 0.0 28.0 30.0 3.006
-0.0 0.0 26.3 30.0 3.017
-0.9 0.0 28.0 30.0 3.029
0.9 0.0 35.1 30.0 3.040
-0.9 0.0 37.7 30.0 3.051
-0.0 0.0 30.7 30.0 3.062
-0.9 0.0 28.0 30.0 3.073
-0.0 0.0 27.2 30.0 3.085
-0.0 0.0 27.2 30.0 3.096
-0.0 0.0 25.4 30.0 3.107
-0.0 0.0 27.2 30.0 3.118
0.9 0.0 35.1 30.0 3.129
-0.0 0.0 37.7 30.0 3.141
-0.0 0.0 29.8 30.0 3.152
0.9 0.0 26.3 30.0 3.163
-0.0 0.0 27.2 30.0 3.174
0.9 0.0 36.8 30.0 3.185
0.9 0.0 36.8 30.0 3.196
-0.0 0.0 27.2 30.0 3.207
0.9 0.0 27.2 30.0 3.218
-0.9 0.0 26.3 30.0 3.229
0.9 0.0 28.0 30.0 3.240
-0.0 0.0 35.1 30.0 3.251
-0.0 0.0 28.9 30.0 3.263
-0.9 0.0 28.0 30.0 3.274
-0.0 0.0 28.0 30.0 3.285
-0.0 0.0 28.9 30.0 3.296
-0.9 0.0 27.2 30.0 3.307
-0.0 0.0 26.3 30.0 3.318
-0.0 0.0 34.2 30.0 3.329
-0.9 0.0 37.7 30.0 3.340
-0.0 0.0 29.8 30.0 3.351
-0.0 0.0 27.2 30.0 3.362
0.9 0.0 28.0 30.0 3.373
-0.0 0.0 27.2 30.0 3.384
0.9 0.0 28.9 30.0 3.395
-0.9 0.0 35.1 30.0 3.406
0.9 0.0 28.0 30.0 3.418
-0.0 0.0 27.2 30.0 3.429
-0.0 0.0 28.9 30.0 3.440
-0.0 0.0 35.1 30.0 3.451
-0.0 0.0 28.9 30.0 3.462
0.9 0.0 27.2 30.0 3.473
-0.0 0.0 28.0 30.0 3.484
-0.0 0.0 35.1 30.0 3.495
-0.0 0.0 28.9 30.0 3.506
-0.9 0.0 28.0 30.0 3.517
-0.9 0.0 27.2 30.0 3.528
-0.0 0.0 26.3 30.0 3.540
-0.9 0.0 35.1 30.0 3.551
-0.0 0.0 37.7 30.0 3.562
-0.0 0.0 29.8 30.0 3.573
-0.0 0.0 28.0 30.0 3.584
-0.0 0.0 26.3 30.0 3.595
-0.0 0.0 27.2 30.0 3.606
0.9 0.0 35.9 30.0 3.617
0.9 0.0 38.6 30.0 3.628
-0.0 0.0 29.8 30.0 3.639
-0.0 0.0 29.8 30.0 3.650
-0.0 0.0 28.9 30.0 3.661
0.9 0.0 28.9 30.0 3.672
-0.0 0.0 27.2 30.0 3.683
-0.9 0.0 27.2 30.0 3.695
0.9 0.0 26.3 30.0 3.706
-0.0 0.0 27.2 30.0 3.717
-0.0 0.0 36.8 30.0 3.728
-0.0 0.0 37.7 30.0 3.739
0.9 0.0 31.6 30.0 3.750
-0.0 0.0 29.8 30.0 3.761
